ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Number of bathroom,Age of Structure,Number of floors,Heating,Credi Accepting
229264,7000000,İstanbul,Ataşehir,İçerenköy Mah.,130,3+1,2,5-10 Arası,8,Doğalgaz (Kombi),Evet
217526,8500000,Muğla,Dalaman,Şerefler Mah.,180,3+1,3,Sıfır,2,Klima,Evet
233845,2000000,Ordu,Ünye,Keş Mah.,180,3+1,2,11-15 Arası,5,Yok,Evet
226608,1275000,Erzurum,Palandöken,Hüseyin Avni Ulaş Mah.,170,3+1,1,11-15 Arası,1,Doğalgaz (Kombi),Evet
224927,7500000,Aydın,,,250,6+1,2,5-10 Arası,1,Merkezi Sistem,Evet
219330,25000000,Ankara,Çankaya,Ümit Mah.,200,5+2,4,5-10 Arası,6,Merkezi Sistem,Evet
218941,12000000,Samsun,Atakum,Alanlı Mah.,515,5+2,4,1 Yaşından Küçük,3,Yerden Isıtma,
218261,9750000.0,İstanbul,Avcılar,Gümüşpala Mah.,230,4+2,3,5-10 Arası,5,Doğalgaz (Kombi),Evet
221829,5750000,Mersin,Mezitli,Merkez Mah.,159,4+1,2,5-10 Arası,14,Merkezi Sistem,Evet
227520,5900000,İstanbul,Büyükçekmece,Mimaroba Mah.,180,4+1,2,5-10 Arası,2,Doğalgaz (Kombi),Evet
221349,8937500.0,Muğla,Bodrum,Turgutreis Mah.,70,2+1,1,16-20 Arası,3,Klima,Bilinmiyor
221911,35000000,İstanbul,Büyükçekmece,Mimarsinan Mah.,550,6+2,2,1,1,Doğalgaz (Kombi),Evet
218357,13000000,İzmir,Urla,Altıntaş Mah.,200,6+1,2,5-10 Arası,3,Doğalgaz (Kombi),Evet
222902,23367500.0,İzmir,Konak,Murat Reis Mah.,213,5+1,2,5-10 Arası,7,Merkezi Sistem,Evet
222190,3802500.0,İstanbul,Kadıköy,Caferağa Mah.,45,1+1,1,30+,4,Doğalgaz (Kombi),Bilinmiyor
211889,4062500.0,Sakarya,Sapanca,Güldibi Mah.,135,3+1,2,1 Yaşından Küçük,4,Yerden Isıtma,Bilinmiyor
213020,17062500.0,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mah.,400,5+3,3,21-25 Arası,4,Merkezi Sistem,Evet
214558,16500000,İstanbul,Bağcılar,Çınar Mah.,90,2+1,5,1 Yaşından Küçük,4,Doğalgaz (Kombi),Evet
215825,4000000,Muğla,Milas,Göldere Mah.,120,3+1,2,3,1,Yerden Isıtma,Bilinmiyor
215351,3710000,İstanbul,Üsküdar,Ahmediye Mah.,70,1+1,1,30+,5,Doğalgaz (Kombi),Bilinmiyor
217063,34500000,İstanbul,Şile,İmrendere Mah.,330,5+1,2,11-15 Arası,3,Yerden Isıtma,Evet
217286,29250000.0,İstanbul,Beşiktaş,Gayrettepe Mah.,210,5+1,3,21-25 Arası,6,Doğalgaz (Kombi),Evet
211887,6700000,İstanbul,Fatih,Topkapı Mah.,70,2+1,Evet,Hayır,4,Evet,1
212128,6500000,İstanbul,Ümraniye,Tatlısu Mah.,70,2+1,1,1 Yaşından Küçük,16,Yerden Isıtma,Evet
216247,19900000,İstanbul,Büyükçekmece,Bahçelievler Mah.,240,5+1,4,2,3,Doğalgaz (Kombi),Evet
205679,4200000,İstanbul,Beylikdüzü,Adnan Kahveci Mah.,110,2+1,1,11-15 Arası,11,Doğalgaz (Kombi),Evet
215210,1875000,Bursa,Nilüfer,Akçalar Mah.,141,3+1,2,5-10 Arası,4,Doğalgaz (Kombi),Bilinmiyor
206278,4150000,Bursa,İznik,Elbeyli Mah.,975,3+1,2,21-25 Arası,3,Soba,Evet
216651,8932000.0,Turkish Controlled Area,,,135,3+1,3,İnşaat Halinde,1,Yok,
207327,18750000,Balıkesir,Ayvalık,Namık Kemal Mah.,,7+1,5,Sıfır,3,Yerden Isıtma,Evet
208165,1500000,Sakarya,Adapazarı,Korucuk Mah.,145,3+1,2,5-10 Arası,4,Doğalgaz (Kombi),Evet
207173,1050000,Yalova,Çınarcık,Hürriyet Mah.,120,,1,21-25 Arası,1,Doğalgaz (Kombi),Evet
208415,13000000.0,İstanbul,Beylikdüzü,Adnan Kahveci Mah.,165,3+1,2,11-15 Arası,13,Doğalgaz (Kombi),Evet
206484,1875000,İstanbul,Ataşehir,Kayışdağı Mah.,90,2+1,1,5-10 Arası,4,Doğalgaz (Kombi),Evet
211066,25900000,İstanbul,Fatih,Balat Mah.,300,5+2,2,30+,5,Doğalgaz (Kombi),
211594,16250000.0,Ankara,Ayaş,Şeyhmuhittin Mah.,250,4+1,4,1 Yaşından Küçük,2,Doğalgaz (Kombi),Evet
206059,16500000,İstanbul,Bakırköy,Yeşilköy Mah.,160,4+2,3,1 Yaşından Küçük,4,Doğalgaz (Kombi),Evet
219616,8450000.0,İstanbul,Ümraniye,Armağan Evler Mah.,150,4+1,1,11-15 Arası,5,Doğalgaz (Kombi),Evet
191316,4200000,İstanbul,Avcılar,Üniversite Mah.,115,3+1,2,Sıfır,8,Doğalgaz (Kombi),Evet
205260,65000000.0,İstanbul,Beykoz,Anadolu Hisarı Mah.,290,4+2,3,4,3,,Evet
202773,3900000.0,Aydın,Kuşadası,Türkmen Mah.,80,2+1,1,5-10 Arası,4,Klima,Evet
198795,5990000,Antalya,Kaş,Palamut Mah.,135,3+1,2,1 Yaşından Küçük,2,Klima,Hayır
198922,60000000,Bolu,Mudurnu,Merkez Mah.,1140,10+,8,30+,3,Soba,Evet
203745,5250000,İstanbul,Fatih,Topkapı Mah.,80,2+1,1,30+,4,Doğalgaz (Kombi),Evet
204485,22750000.0,Amasya,,,550,6+2,4,4,4,Yerden Isıtma,Evet
193539,5180000,Aksaray,Merkez,Hamidiye Mah.,135,3+1,1,30+,5,Doğalgaz (Kombi),Evet
207768,1250000,İstanbul,Esenler,,110,3+1,2,1 Yaşından Küçük,6,Merkezi Sistem,Evet
