ilan no,Price,City,Town,Neighbourhood,Total Square of Meter,Number of room,Age of Structure,Floor of house,Number of floors,Heating,Credi Accepting
14956558,"2,525,000",Konya Satılık Daire,Karatay Satılık Daire,Emirgazi Mahallesi Satılık Daire,150 M2,3+1,2,5,3.Kat,Yerden Isıtma,Krediye Uygun
14953484,"1,430,000",Konya Satılık Daire,Meram Satılık Daire,Hadimi Mahallesi Satılık Daire,135 M2,3+1,11-15,3,3.Kat,Sobalı,Krediye Uygun
14956871,"3,250,000",Konya Satılık Daire,Selçuklu Satılık Daire,Mehmet Akif Mahallesi Satılık Daire,150 M2,3+1,0 (Yeni),3,Yüksek Giriş,Kombi Doğalgaz,Bilinmiyor
14956216,"4,250,000",Konya Satılık Daire,Selçuklu Satılık Daire,Selahaddin Eyyubi Mahallesi Satılık Daire,165 M2,3+1,0 (Yeni),4,4.Kat,Yerden Isıtma,Krediye Uygun
14952761,"10,000,000",Konya Satılık Daire,Selçuklu Satılık Daire,Hacıkaymak Mahallesi Satılık Daire,224 M2,4+1,5-10,15,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun
14957122,"4,250,000",Konya Satılık Daire,Selçuklu Satılık Daire,Selahaddin Eyyubi Mahallesi Satılık Daire,170 M2,3+1,0 (Yeni),3,2.Kat,Yerden Isıtma,Krediye Uygun
14952344,"3,430,000",Konya Satılık Daire,Selçuklu Satılık Daire,Selahaddin Eyyubi Mahallesi Satılık Daire,150 M2,3+1,3,4,3.Kat,Kombi Doğalgaz,Krediye Uygun
14946650,"1,450,000",Konya Satılık Daire,Meram Satılık Daire,Gödene Mahallesi Satılık Daire,120 M2,2+1,4,7,5.Kat,Merkezi Doğalgaz,Bilinmiyor
14947135,"5,249,900",Konya Satılık Daire,Selçuklu Satılık Daire,Şeker Mahallesi Satılık Daire,200 M2,4+1,0 (Yeni),8,2.Kat,Kombi Doğalgaz,Krediye Uygun
14953482,"11,000,000",Konya Satılık Daire,Meram Satılık Daire,Yenişehir Mahallesi Satılık Daire,175 M2,4+1,5-10,17,Bahçe Katı,Merkezi (Pay Ölçer),Krediye Uygun
14947237,"1,575,000",Konya Satılık Daire,Akşehir Satılık Daire,Gazi Mahallesi Satılık Daire,55 M2,1+1,0 (Yeni),5,4.Kat,Kombi Doğalgaz,Bilinmiyor
14957137,"3,000,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,165 M2,3+1,0 (Yeni),3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
14957068,"3,450,000",Konya Satılık Daire,Selçuklu Satılık Daire,Kosova Mahallesi Satılık Daire,165 M2,3+1,0 (Yeni),3,3.Kat,Kombi Doğalgaz,Krediye Uygun
14947776,"1,690,000",Konya Satılık Daire,Meram Satılık Daire,Alakova Mahallesi Satılık Daire,95 M2,2+1,1,2,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun Değil
14955535,"3,275,000",Konya Satılık Daire,Selçuklu Satılık Daire,Yazır Mahallesi Satılık Daire,160 M2,3+1,11-15,5,3.Kat,Kombi Doğalgaz,Krediye Uygun
14947484,"1,850,000",Konya Satılık Daire,Selçuklu Satılık Daire,Buhara Mahallesi Satılık Daire,110 M2,2+1,4,2,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun
14948057,"2,849,900",Konya Satılık Daire,Selçuklu Satılık Daire,Sille Ak Mahallesi Satılık Daire,145 M2,3+1,0 (Yeni),3,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun
14956985,"2,700,000",Konya Satılık Daire,Selçuklu Satılık Daire,Selahaddin Eyyubi Mahallesi Satılık Daire,150 M2,3+1,0 (Yeni),3,3.Kat,Kombi Doğalgaz,Krediye Uygun
14947798,"2,600,000",Konya Satılık Daire,Ereğli Satılık Daire,Hıdırlı Mahallesi Satılık Daire,180 M2,3+1,4,5,1.Kat,Merkezi Doğalgaz,Krediye Uygun
14948516,"2,275,000",Konya Satılık Daire,Selçuklu Satılık Daire,Akıncılar Mahallesi Satılık Daire,175 M2,3+1,16-20,3,Kot 3 (-3).Kat,Kombi Doğalgaz,Krediye Uygun
14948542,"2,975,000",Konya Satılık Daire,Selçuklu Satılık Daire,Akıncılar Mahallesi Satılık Daire,195 M2,3+1,5-10,3,Kot 3 (-3).Kat,Kombi Doğalgaz,Krediye Uygun
14948965,"6,750,000",Konya Satılık Daire,Selçuklu Satılık Daire,Feritpaşa Mahallesi Satılık Daire,225 M2,4+1,16-20,15,Düz Giriş (Zemin),Merkezi Doğalgaz,Krediye Uygun
14948254,"4,250,000",Konya Satılık Daire,Selçuklu Satılık Daire,Dumlupınar Mahallesi Satılık Daire,200 M2,4+1,5-10,2,Bahçe Dublex,Sobalı,Krediye Uygun
14948969,"2,600,000",Konya Satılık Daire,Meram Satılık Daire,Aşkan Mahallesi Satılık Daire,140 M2,3+1,21 Ve Üzeri,6,2.Kat,Merkezi Doğalgaz,Krediye Uygun
14948570,"2,400,000",Konya Satılık Daire,Selçuklu Satılık Daire,Hocacihan Mahallesi Satılık Daire,110 M2,2+1,1,5,2.Kat,Yerden Isıtma,Krediye Uygun
14948733,"2,750,000",Konya Satılık Daire,Selçuklu Satılık Daire,Sille Ak Mahallesi Satılık Daire,130 M2,2+1,0 (Yeni),3,3.Kat,Yerden Isıtma,Krediye Uygun
14949382,"1,600,000",Konya Satılık Daire,Selçuklu Satılık Daire,Bosna Hersek Mahallesi Satılık Daire,150 M2,3+1,16-20,3,Çatı Katı,Kombi Doğalgaz,Krediye Uygun
14949370,"1,500,000",Konya Satılık Daire,Selçuklu Satılık Daire,Bosna Hersek Mahallesi Satılık Daire,110 M2,3+1,21 Ve Üzeri,3,2.Kat,Kombi Doğalgaz,Krediye Uygun
14949376,"1,550,000",Konya Satılık Daire,Selçuklu Satılık Daire,Bosna Hersek Mahallesi Satılık Daire,110 M2,3+1,11-15,10,2.Kat,Kombi Doğalgaz,Krediye Uygun
14949371,"1,710,000",Konya Satılık Daire,Selçuklu Satılık Daire,Bosna Hersek Mahallesi Satılık Daire,130 M2,2+1,16-20,10,2.Kat,Merkezi Doğalgaz,Krediye Uygun
14949374,"2,650,000",Konya Satılık Daire,Selçuklu Satılık Daire,Yazır Mahallesi Satılık Daire,150 M2,3+1,5-10,3,Çatı Katı,Kombi Doğalgaz,Krediye Uygun
14951204,"2,300,000",Konya Satılık Daire,Akşehir Satılık Daire,İstasyon Mahallesi Satılık Daire,130 M2,2+1,3,4,2.Kat,Yerden Isıtma,Krediye Uygun
14951034,"4,850,000",Konya Satılık Daire,Selçuklu Satılık Daire,Parsana Mahallesi Satılık Daire,190 M2,4+1,0 (Yeni),4,3.Kat,Yerden Isıtma,Krediye Uygun
14951462,"3,750,000",Konya Satılık Daire,Selçuklu Satılık Daire,Selahaddin Eyyubi Mahallesi Satılık Daire,160 M2,3+1,0 (Yeni),3,2.Kat,Kombi Doğalgaz,Krediye Uygun
14951579,"3,650,000",Konya Satılık Daire,Selçuklu Satılık Daire,Selahaddin Eyyubi Mahallesi Satılık Daire,160 M2,3+1,0 (Yeni),3,3.Kat,Kombi Doğalgaz,Krediye Uygun
14951603,"2,950,000",Konya Satılık Daire,Selçuklu Satılık Daire,Hüsamettin Çelebi Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),4,2.Kat,Yerden Isıtma,Krediye Uygun
14951981,"2,450,000",Konya Satılık Daire,Karatay Satılık Daire,Fetih Mahallesi Satılık Daire,165 M2,3+1,11-15,6,2.Kat,Merkezi Doğalgaz,Krediye Uygun
14952058,"4,149,900",Konya Satılık Daire,Selçuklu Satılık Daire,Şeker Mahallesi Satılık Daire,160 M2,3+1,0 (Yeni),8,3.Kat,Kombi Doğalgaz,Krediye Uygun
14957259,"6,250,000",Konya Satılık Daire,Selçuklu Satılık Daire,Yazır Mahallesi Satılık Daire,205 M2,4+1,0 (Yeni),10,5.Kat,Merkezi (Pay Ölçer),Krediye Uygun
14949174,"557,000",Konya Satılık Daire,Karatay Satılık Daire,Hasandedemescit Mahallesi Satılık Daire,120 M2,2+1,0 (Yeni),7,3.Kat,Yerden Isıtma,Krediye Uygun
14958500,"1,750,000",Konya Satılık Daire,Karatay Satılık Daire,Çatalhüyük Mahallesi Satılık Daire,100 M2,2+1,0 (Yeni),2,2.Kat,Yerden Isıtma,Krediye Uygun
14957940,"1,600,000",Konya Satılık Daire,Akşehir Satılık Daire,Kileci Mahallesi Satılık Daire,80 M2,2+1,16-20,5,4.Kat,Kombi Doğalgaz,Krediye Uygun
14958720,"1,750,000",Konya Satılık Daire,Meram Satılık Daire,Alakova Mahallesi Satılık Daire,100 M2,2+1,1,2,2.Kat,Kombi Doğalgaz,Bilinmiyor
14959279,"2,650,000",Konya Satılık Daire,Selçuklu Satılık Daire,Fatih Mahallesi Satılık Daire,155 M2,3+1,16-20,6,3.Kat,Merkezi Doğalgaz,Krediye Uygun
14959136,"2,670,000",Konya Satılık Daire,Selçuklu Satılık Daire,Sakarya Mahallesi Satılık Daire,185 M2,3+1,11-15,8,6.Kat,Kombi Doğalgaz,Krediye Uygun
